P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
Hot,Superterran,rocky-water,metals-rich,non-habitable,8.32,1.99,1.06,2.11,2.05,2126.932,2393.998,2704.487,1730.1,1780.9,1837.2,1773.5,1824.2,1880.6,8.8,-27.16,3.78,0.74,0.0156,0.06,0.02,170,0.91,0.94,5196,0.581554,0.31,10.2,6,12.34,8.8769,28.3339,-35.2,32.7148,5,1,0.591,1.419,-2.39,0.03,-0.79,0.28,0.26,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.09,1.66,1.1,1.84,1.75,234.718,296.5414,380.1633,997.2,1054.4,1125,1038.6,1095.7,1166.3,5.6,-24.5,3.16,4.21,0.0502,0.12,0.05,105,0.95,0.94,5531,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-32.9,10.0643,3,0,0.656,1.556,-2.35,-0.15,-0.69,0.29,0.27,1,0
Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.09,0.89,0.97,1.03,308.6566,308.6566,308.6567,1067.9,1067.9,1067.9,1101.9,1101.9,1101.9,1,-23.61,2.06,3.24,0.04,0,0.04,0,0.93,0.86,5214,0.493851,,,1.3,1.3,14.6597,-60.8375,-33,11.517,1,0,0.545,1.306,-2.33,-0.17,-1.12,0.28,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.58,1.91,1.23,2.35,2.12,51.79292,51.79292,51.79292,683.5,683.5,683.5,727.6,727.6,727.6,10.6,-22.89,3.63,3.87,0.0428,0,0.04,0,0.7,0.55,4324,0.094876,-0.14,4.4,6.7,20,5.8833,-5.9947,-31,6.8523,3,1,0.248,0.617,-2.11,-0.14,-0.16,0.32,0.28,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,7.42,1.67,1.6,2.67,2.11,1829.071,1829.072,1829.072,1666.1,1666.1,1666.1,1710.7,1710.7,1710.7,11.9,-26.49,3.17,0.85,0.0172,0,0.02,0,0.93,0.87,5313,0.541113,0.03,1.5,11.7,150,6.7303,-1.0628,-34.9,27.2106,2,0,0.567,1.355,-2.4,-0.46,-0.73,0.28,0.27,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.39,1.9,1.23,2.33,2.1,255.7243,255.7243,255.7243,1018.8,1018.8,1018.8,1062.8,1062.8,1062.8,10.3,-24.62,3.61,3.7,0.046,0,0.05,0,0.93,0.87,5313,0.541113,0.03,1.5,11.7,150,6.7303,-1.0628,-32.8,10.0921,2,0,0.567,1.355,-2.32,-0.14,-0.46,0.3,0.26,0,0
Hot,Jovian,rocky-water,hydrogen-rich,non-habitable,317.94,4.48,3.54,15.84,8.42,18389.41,20698.45,23382.93,2966.8,3053.8,3150.4,3030.9,3117.8,3214.5,1124.2,-31.29,8.52,0.09,0.0044,0.06,0,0,1.4,,,0.4,,12.5,,1200,17.3194,-14.6336,-37.6,,1,0,,,-2.46,0.97,1.22,0.26,0.16,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.43,1.9,1.23,2.33,2.11,8.882277,8.882278,8.88228,439.8,439.8,439.8,483.8,483.8,483.8,10.3,-20.96,3.61,8.78,0.066,0,0.07,0,0.49,0.53,3520,0.038691,-0.1,,10,9.42,4.7156,18.9581,-29.1,4.2805,1,0,0.161,0.417,-1.74,-0.14,0.21,0.36,0.39,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.6,1.71,1.12,1.92,1.81,4.207579,5.418015,7.097418,364.9,387.5,415.8,406.8,429.3,457.7,6.3,-20.19,3.25,7.2,0.0505,0.13,0.05,5.7,0.33,0.35,3350,0.0137,-0.55,2,10.2,7.23,17.3158,-34.9897,-28.6,3.7066,6,3,0.096,0.251,-1.59,-0.15,0.04,0.39,0.47,0,0
Hot,Terran,rocky-iron,metals-rich,non-habitable,1.75,1.23,0.94,1.15,1.19,0.9187996,2.697889,11.54536,249.4,304.9,469.6,285.6,341,505.7,1.6,-18.92,2.34,757.16,1.98,0.56,1.64,20,1.79,1.3,8719,8.762809,-0.03,,9.8,,19.2228,40.7314,-28,0.4223,1,0,2.053,4.731,-1.19,-0.16,-0.48,0.44,0.67,0,0
Cold,Superterran,rocky-iron,metals-rich,non-habitable,5.1,1.67,1.1,1.84,1.75,0.1695281,0.1799281,0.1911438,163.5,165.9,168.5,204.9,207.3,209.9,5.6,-16.42,3.16,91.61,0.276,0.03,0.28,40.1,0.33,0.35,3350,0.0137,-0.55,2,10.2,7.23,17.3158,-34.9897,-24.9,0.6726,6,3,0.096,0.251,1.33,-0.15,0.9,0.38,0.47,0,0
