,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
0,Cold,Jovian,gas,hydrogen-rich,non-habitable,4.08E-06,4.08E-06,4.08E-06,4451.16,19.04,0.64,12.28,15.29,11.4,11.4,11.4,879.9998278829605,883.6011474469306,889.4679288582904,2870.4,-10.06,36.81,721.5746168324818,330.0,0.0,330.0,0.0,0.73,1.35,4060.0,0.44428500000000004,-0.06014540337711069,0.011000000000000001,12.249795918367347,145.0,16.1583,-21.0828,-13.2,0.0022,1.0,0.0,0.54,1.3619999999999999,800.07,23.51,85.62,0.0,0.05,0.0,0.0
1,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.02166914,0.02166914,0.02166914,6358.8,10.94,4.86,53.12,24.11,97.7,97.7,97.7,879.9998278829605,883.6011474469306,889.4679288582904,30873.8,-18.21,20.91,3725.0,3.9,0.0,3.9,0.0,0.9,0.99,4400.0,0.329588,-0.06014540337711069,0.016,12.4,133.0,14.13,-39.7619,-22.5,0.1353,1.0,0.0,0.461,1.143,9.07,15.3,45.41,0.02,0.07,0.0,0.0
2,Cold,Jovian,gas,hydrogen-rich,non-habitable,3.96E-06,3.96E-06,3.96E-06,4133.22,11.4,2.79,31.79,19.04,11.4,11.4,11.4,879.9998278829605,883.6011474469306,889.4679288582904,11520.8,-8.91,21.8,721.5746168324818,84.0,0.0,84.0,0.0,0.4,0.38,3840.0,0.027955,-0.06014540337711069,0.03,12.249795918367347,47.2,1.06,-55.2656,-13.2,0.0024,1.0,0.0,0.136,0.34700000000000003,793.67,12.57,107.44,0.0,0.06,0.0,0.0
3,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.03E-05,1.03E-05,1.03E-05,6358.8,11.2,4.53,50.69,23.83,14.4,14.4,14.4,879.9998278829605,883.6011474469306,889.4679288582904,28780.4,-9.92,21.41,721.5746168324818,52.0,0.0,52.0,0.0,0.4,0.38,3840.0,0.027955,-0.06014540337711069,0.12,12.249795918367347,36.0,1.3808,-24.6142,-14.2,0.0039,1.0,0.0,0.136,0.34700000000000003,490.45,15.72,119.46,0.0,0.08,0.0,0.0
4,Cold,Jovian,gas,hydrogen-rich,non-habitable,2.37E-07,2.37E-07,2.37E-07,4419.37,16.13,1.05,16.99,16.55,5.6,5.6,5.6,879.9998278829605,883.6011474469306,889.4679288582904,4655.6,-6.6,31.03,721.5746168324818,156.0,0.0,156.0,0.0,0.11,0.27,3064.0,0.005765,-0.06014540337711069,4.18801899007337,12.249795918367347,39.4,2.3228,-39.4231,-10.1,0.0009,1.0,0.0,0.062,0.165,3028.82,19.46,133.25,0.0,0.06,0.0,0.0
5,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.26E-07,1.26E-07,1.26E-07,2384.55,11.66,1.5,17.53,14.3,4.8,4.8,4.8,879.9998278829605,883.6011474469306,889.4679288582904,3585.2,-5.21,22.3,721.5746168324818,15.0,0.0,15.0,0.0,0.02,0.01,3840.0,2.8000000000000003e-05,-0.06014540337711069,0.001,12.249795918367347,140.0,4.6958,23.0308,-9.4,0.0004,1.0,0.0,0.004,0.011000000000000001,4453.14,10.21,124.39,0.0,0.07,0.0,0.0
6,Cold,Jovian,gas,hydrogen-rich,non-habitable,9.06E-06,2.29E-05,7.61E-05,9538.2,10.86,7.44,80.81,29.63,14.0,16.8,23.8,879.9998278829605,883.6011474469306,889.4679288582904,70951.8,-10.87,20.76,4640.0,2.897,0.49,2.53,354.4,0.12,0.09,2205.0,0.000168,-0.06014540337711069,4.18801899007337,12.249795918367347,12.21,7.7786,20.0089,-15.2,0.0187,1.0,0.0,0.011000000000000001,0.028999999999999998,325.42,20.19,132.41,0.0,0.08,0.0,0.0
7,Cold,Jovian,gas,hydrogen-rich,non-habitable,2.74E-08,2.74E-08,2.74E-08,1271.76,11.66,0.8,9.36,10.44,3.3,3.3,3.3,879.9998278829605,883.6011474469306,889.4679288582904,1020.6,-3.53,22.3,721.5746168324818,46.0,0.0,46.0,0.0,0.03,0.02,3840.0,5.7999999999999994e-05,-0.06014540337711069,0.008,20.1,52.4,12.1258,-39.5483,-7.7,0.0002,1.0,0.0,0.006,0.016,9575.68,8.56,109.81,0.0,0.08,0.0,0.0
8,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.1531191,0.1531191,0.1531191,604.09,11.21,0.43,4.81,7.34,159.4,159.4,159.4,879.9998278829605,883.6011474469306,889.4679288582904,259.4,-20.4,21.42,416.0,0.92,0.0,0.92,0.0,0.6,1.4982379558158103,5481.50649867374,0.1296,-0.06014540337711069,4.18801899007337,12.249795918367347,614.4452976190478,19.6425,46.0664,-24.7,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,2.51,7.35,9.51,0.08,0.24,0.0,0.0
9,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.27E-05,2.09E-05,3.68E-05,6358.8,10.3,5.81,59.89,24.84,15.2,17.0,19.8,879.9998278829605,883.6011474469306,889.4679288582904,36960.1,-10.54,19.68,7340.0,3.53,0.26,3.41,223.0,0.08,0.1,2300.0,0.000251,-0.06014540337711069,4.18801899007337,12.249795918367347,25.0,21.6747,16.4217,-15.0,0.0156,1.0,0.0,0.013000000000000001,0.035,316.89,14.27,113.5,0.0,0.08,0.0,0.0
